Bereich;Schlüssel;Untergruppe;Name;Bezeichnung;Beschreibung;Deploy6 (<Alle>);Test6 (<Alle>);Identisch
av;stueliinc;Produktion - Allgemeines - Nummerierung;STUELIINC;Stückliste;Schrittweite für die Nummerierung von Stücklisten.;10;10;true 2
av;stuelistart;Produktion - Allgemeines - Nummerierung;STUELISTART;Stückliste;Startwert für die Nummerierung von Stücklisten.;10;10;true 2
av;summenbildung;Produktion - Allgemeines - Sonstiges;SUMMENBILDUNG;Summenbildung aktiv;Diese Combobox aktiviert/deaktiviert die Summenbildung fuer Stuecklisten;false;false;true 2
av;sync_artikel_cols;Produktion - Auftragsstückliste abgleichen;SYNC_ARTIKEL_COLS;Merkmale, die zusätzlich zum Artikel übernommen werden;"Hier wird definiert, welche Merkmale bei Änderung der Artikelnummer zusätzlich von der Stammstücklistenposition in die Auftragsstücklistenposition übernommen werden.<br/><br/>
Syntax: &lt;Merkmal aus STUELIPOS&gt;=&lt;Merkmal aus AUFSTUELIPOS&gt;";NAME=NAME,ZEICHNUNG=ZEICHNUNG,VERSCHNFAKTOR=VERSCHNFAKTOR,ERSATZ=ERSATZ,BEISTELL=BEISTELL,ISBEISTELLPOSITION=ISBEISTELLPOSITION;NAME=NAME,ZEICHNUNG=ZEICHNUNG,VERSCHNFAKTOR=VERSCHNFAKTOR,ERSATZ=ERSATZ,BEISTELL=BEISTELL,ISBEISTELLPOSITION=ISBEISTELLPOSITION;true 2
av;tagesbeginn_av;Produktion - Terminierung;TAGESBEGINN_AV;Tagesbeginn;"Tagesbeginn für die Terminierung und die Kapazitätsplanung.
<p>Zulässig ist ein Tagesbeginn der außerhalb der Kernzeiten liegt oder der genau auf den Kernstart fällt.</p>";00:00:00;00:00:00;true 2
av;term_alternativmagr;Produktion - Terminierung;TERM_ALTERNATIVMAGR;Alternative Maschinengruppen unabhängig von Überlast terminieren;"Dieser Kenner steuert die Terminierung der alternativen Maschinengruppen.<br/><br/>
Ist er gesetzt, wird die Terminierung mit alternativen Maschinengruppen auch dann durchgeführt, wenn auf der ursprünglichen Maschinengruppe <b>keine</b> Überlast innerhalb des ermittelten Zeitraums auftritt.
<br/><br/>Ist er nicht gesetzt, wird die Terminierung mit alternativen Maschinengruppen nur dann durchgeführt, wenn auf der ursprünglichen Maschinengruppe Überlast innerhalb des ermittelten Zeitraums auftritt.";false;false;true 2
av;term_alternschedulingtime;Produktion - Terminierung;TERM_ALTERNSCHEDULINGTIME;Alternative Maschinengruppen mit Terminierungsdaten erfassen;Ist der Kenner gesetzt, werden alternativen Maschinengruppen mit den Terminierungsdaten erfasst. Diese Terminierungsdaten werden dann bei der Terminierung des Arbeitsgangs mit der alternativen Maschinengruppe verwendet.<br/><br/> Ist er nicht gesetzt, werden bei der Terminierung für alle alternativen Maschinengruppen die gleiche Terminierungdaten aus dem Arbeitsgang verwendet.;false;false;true 2
av;terminierungsart_default;Produktion - Terminierung;TERMINIERUNGSART_DEFAULT;Terminierungsart: Vorbelegung im Dialog;Beim Öffnen des Dialogs <i>Auftragsstücklistenpositionen terminieren</i> wird die hier angegebene Terminierungsart vorbelegt.;0;0;true 2
av;tr_in_bemerkung;Produktion - Arbeitsgänge;TR_IN_BEMERKUNG;Rüstzeit in AG-Beschreibung übernehmen;"Ist der Kenner gesetzt, wird die Rüstzeit bei Auswahl über die Pickliste in die AG-Beschreibung bzw. Bemerkung übernommen. Der Kenner wirkt sich auf folgende APplus-Seiten aus:
<ul>
<li>
Auftrag vorkalkulieren (Kosten)
</li>
<li>
AG-Katalogposition bearbeiten
</li>
<li>
Arbeitsgang bearbeiten
</li>
<li>
Werkstattauftragsposition bearbeiten
</li>
</ul>";false;false;true 2
av;transport_container_active;Produktion - Allgemeines - Sonstiges;TRANSPORT_CONTAINER_ACTIVE;Transportbehälter aktiv;Ist der Kenner gesetzt, dann werden Transportbehälter verwendet;false;false;true 2
av;trest_berechnung;Produktion - WAuftrag;TREST_BERECHNUNG;Restzeitberechnung;Die Restzeit ergibt sich aus der Differenz von Sollzeit zu Istzeit oder orientiert sich an bereits gemeldeten Mengen.;1;1;true 2
av;ueberlast;Produktion - Terminierung;UEBERLAST;Überlast berechnen;"<p>Wird die Checkbox gesetzt wird bei der Terminierung und bei der Einplanung von Arbeitsg&auml;ngen jeweils berechnet, ob die Ist-Kapazit&auml;t der Maschinengruppe am Starttermin des Arbeitsganges &uuml;ber 100% belastet wird. <span>Werden &Uuml;berlastungen erkannt, werden diese in einer Datei protokolliert. Nach Abschluss des Terminierungslaufes k&ouml;nnen Sie die &Uuml;berlastungssituationen analysieren und bearbeiten.</span></p><P>Prinzipiell basiert die Terminierung von APplus auf nach oben offenen Kapazit&auml;ten. Arbeitsg&auml;nge werden auch dann auf die sich aus dem Auftragsdurchlauf ergebenden Starttermine eingeplant, wenn dadurch eine Kapazit&auml;ts&uuml;berlastung entsteht. <span>Welche Konsequenzen die Kapazit&auml;ts&uuml;berlastung erfordert, kann der Disponent anhand des &Uuml;berlastprotokolls entscheiden. M&ouml;glichkeiten sind z.B.</span></P><LI>das Umplanen des Termins,</LI><LI>das Ausweichen auf andere Maschinengruppen,</LI><LI>die Erh&ouml;hung des Kapazit&auml;tsangebotes.</LI></ul><P><B>Hinweis:</B> Der Zeitbedarf f&uuml;r die Terminierung ist deutlich h&ouml;her (Minimum: Faktor 2), wenn die Option <B>&Uuml;berlast berechnen</B> gesetzt ist.</P><p>Wird die Checkbox gesetzt, werden Kapazit&auml;ts&uuml;berlastungen von Maschinengruppen analysiert.</p>";false;false;true 2
av;usemeldedatum;Produktion - Material-Buchungen bei der Auftragszeiterfassung;USEMELDEDATUM;Datumanteil der Meldezeit verwenden;Wenn dieser Schalter aktiviert ist, wird für automatische Materialbuchungen als Leistungsdatum statt des Buchungstages der Datumanteil der Zeitmeldung verwendet.<br><br><b>Hinweis: </b>Bei Materialentnahmen mit der Option <i>Bei der ersten Start-Meldung auf den WAuftrag (Sollmenge)</i> wird der Datumanteil der Startzeit verwendet, in allen anderen Fällen der Datumanteil der Endemeldung.;false;false;true 2
av;vorab_in_verursacher;Produktion - Vorabbedarfe;VORAB_IN_VERURSACHER;Vorabbedarfe in Verursacher-Auftragsstückliste;"Dieser Kenner steuert die Ermittlung von Vorabbedarfen und damit den Abgleich von Vorabbedarfen mit Echtbedarfen. Ist der Kenner gesetzt, werden Vorabbedarfe in der Verursacher-Auftragsstückliste gesucht. Ist der Kenner nicht gesetzt, werden Vorabbedarfe in der Erfüller-Auftragsstückliste gesucht.<br/><br/>
Hinweise:
<ul>
<li>Ein Mischbetrieb wird nicht unterstützt. Vorabbedarfe müssen generell entweder in der Verursacher-Auftragsstückliste oder in der Erfüller-Auftragsstückliste angelegt werden.</li>
<li>Sofern Sie keine Erfüller-Auftragsstücklisten einsetzen, hat der Kenner keinen Einfluss auf die Art der Ermittlung von Vorabbedarfen. Aus Performancegründen wird jedoch empfohlen, den Kenner in diesem Fall zu deaktivieren.</li>
</ul>";true;true;true 2
av;vorab_start_setzen;Produktion - Vorabbedarfe;VORAB_START_SETZEN;Starttermin beim Generieren eines Vorabbedarfs setzen;Dieser Kenner steuert, ob beim Generieren eines Vorabbedarfs das aktuelle Datum als Starttermin eingetragen wird (Kenner ist gesetzt) oder ob der Starttermin leer bleibt (Kenner ist nicht gesetzt).;true;true;true 2
av;vorab_termin_fixieren;Produktion - Vorabbedarfe;VORAB_TERMIN_FIXIEREN;Termin fixieren;"Dieser Kenner steuert, ob Start- und Endtermin bei Vorabbedarfen nach der Funktion ""Vorabbedarfe einplanen"" und bei Echtbedarfen nach der Funktion ""Terminieren"" fixiert werden.";true;true;true 2
av;vorabbedarf_aktiv;Produktion - Vorabbedarfe;VORABBEDARF_AKTIV;Vorabbedarfe verwenden;Aktivieren Sie diesen Kenner, wenn Sie mit Vorabbedarfen arbeiten. Wenn Sie keine Vorabbedarfe verwenden, sollte der Kenner aus Performancegründen deaktiviert werden.;true;true;true 2
av;vstuelimonocost;Produktion - Allgemeines - Sonstiges;VSTUELIMONOCOST;gemeinsamer Kostenträger Vertriebsstücklisten;Wird diese Checkbox aktiviert erhalten alle Positionen der Auftragsstückliste mit Struktur = 1 (Unterpositionen der Vertriebsstückliste) den selben Kostenträger wie der Kopf der Vertriebsstückliste.;false;false;true 2
av;waittime_consideration1;Produktion - Priorität;WAITTIME_CONSIDERATION1;Priorität 1: Berücksichtigung der Liegezeit zu (%);GROUP_AV_SUBGROUP_PRIORITÄT_WAITTIME_CONSIDERATION1_DESCRIPTION;100;100;true 2
av;waittime_consideration2;Produktion - Priorität;WAITTIME_CONSIDERATION2;Priorität 2: Berücksichtigung der Liegezeit zu (%);GROUP_AV_SUBGROUP_PRIORITÄT_WAITTIME_CONSIDERATION2_DESCRIPTION;66;66;true 2
av;waittime_consideration3;Produktion - Priorität;WAITTIME_CONSIDERATION3;Priorität 3: Berücksichtigung der Liegezeit zu (%);GROUP_AV_SUBGROUP_PRIORITÄT_WAITTIME_CONSIDERATION3_DESCRIPTION;33;33;true 2
av;waittime_consideration4;Produktion - Priorität;WAITTIME_CONSIDERATION4;Priorität 4: Berücksichtigung der Liegezeit zu (%);GROUP_AV_SUBGROUP_PRIORITÄT_WAITTIME_CONSIDERATION4_DESCRIPTION;0;0;true 2
av;wia_aufstueli_remove;Produktion - Allgemeines - Sonstiges;WIA_AUFSTUELI_REMOVE;Löschen der Auftragsstücklisten mit einem Eintrag in der Buchungsperiode;Wird der Kenner gesetzt, wird das Löschen einer Auftragsstückliste, die einen Eintrag in der Tabelle BuchungsperiodeWIA hat, erlaubt. Wird der Kenner nicht gesetzt, wird das Löschen einer Auftragsstückliste, die einen Eintrag in der Tabelle BuchungsperiodeWIA hat, nicht erlaubt.;true;true;true 2
av;wss_sammelende_modus;Produktion - Werkstattsteuerung;WSS_SAMMELENDE_MODUS;"Standard-Modus f&uuml;r Sammel-Ende-Meldung";"Standard-Modus f&uuml;r Sammel-Ende-Meldung auf dem Ende-Dialog des WSS-Terminals.";ALLE_OHNE_MENGEN;ALLE_OHNE_MENGEN;true 2
av;wss_sammelfertig_modus;Produktion - Werkstattsteuerung;WSS_SAMMELFERTIG_MODUS;"Standard-Modus f&uuml;r Sammel-Fertig-Meldung";"Standard-Modus f&uuml;r Sammel-Fertig-Meldung auf dem Fertig-Dialog des WSS-Terminals.";ALLE_OHNE_MENGEN;ALLE_OHNE_MENGEN;true 2
av;wss_timeout;Produktion - Werkstattsteuerung;WSS_TIMEOUT;Anzeige-Timeout;"Timeout (in Sekunden) f&uuml;r die Anzeige des Arbeitsvorrats.";60;60;true 2
av;wss_zeitraum;Produktion - Werkstattsteuerung;WSS_ZEITRAUM;Zeitraum Arbeitsvorrat;"Zeitraum (in Arbeitstagen ab heute) f&uuml;r den auf der Meldeseite angezeigten Arbeitsvorrat.";3;3;true 2
av;zugangfertkomplett_ag_status4;Produktion - Buchungen Auftragsstückliste / Werkstattauftrag;ZUGANGFERTKOMPLETT_AG_STATUS4;Zugang aus Fertigung: <i>Komplett eingelagert</i> beendet Arbeitsgänge;Wird dieser Kenner gesetzt, werden bei der Buchung <i>Zugang aus Fertigung</i> mit der Option <i>Komplett eingelagert</i> die Arbeitsgänge des Werkstattauftrags in den Status <i>beendet</i> gesetzt. Andernfalls bleiben die Arbeitsgänge des Werkstattauftrags in ihrem Status unverändert.;true;true;true 2
av;zuruecklegen_lbwsort;Produktion - Buchungen Auftragsstückliste / Werkstattauftrag;ZURUECKLEGEN_LBWSORT;Sortierreihenfolge der Lagerbewegungen beim Zurücklegen und Storno Zugang aus Fertigung;Die Ursprungsbuchungen werden beim Zurücklegen und Storno Zugangs aus Fertigung gemäß der hier angegebenen Richtung nach Belegnummer sortiert.<br><br><b>Hinweis:</b> Diese Option wird nur ausgewertet, wenn der Preis der Ursprungsbuchung verwendet wird.;DESC;DESC;true 2
av;zuruecklegen_preis;Produktion - Buchungen Auftragsstückliste / Werkstattauftrag;ZURUECKLEGEN_PREIS;Preis beim Zurücklegen auf Auftragsstücklistenposition;"Beim Zurücklegen auf Auftragsstücklistenposition wird der hier angegebene Preis verwendet.<br><br><b>Hinweise:</b>
<ul><li>Bei aktivierter Gesamtbewertung (Schalter <b>Gesamtbewertung</b> im Bereich <b>Kalkulation</b>) ist nur die Einstellung ""Preis der Ursprungsbuchung"" sinnvoll.</li>
<li>Zurücklegen mit dem Preis der Ursprungsbuchung ist nur möglich, wenn Lagerbewegungen protokolliert werden (Schalter <b>Lagerbewegungen protokollieren</b> in der Systemkonfiguration, Bereich Materialwirtschaft, muss aktiviert sein).</li></ul>";2;2;true 2
bauwesen;angebot_posart;Bauwesen - Belege;ANGEBOT_POSART;Positionsarten;Positionsarten in der Belegposition.;HWT Hinweistext,ABE Ausführungsbeschreibung,LVB LV-Bereich,NOR Normalposition,GRP Grundposition,ALP Alternativposition;HWT Hinweistext,ABE Ausführungsbeschreibung,LVB LV-Bereich,NOR Normalposition,GRP Grundposition,ALP Alternativposition;true 2
bauwesen;angebot_posart2;Bauwesen - Belege;ANGEBOT_POSART2;Positionsarten 2;Positionsarten 2 (Bedarfsposition) in der Belegposition.;KBP keine Bedarfspos.,BOG Bedarfspos. ohne Gesamtbetrag,BMG Bedarfspos. mit Gesamtbetrag;KBP keine Bedarfspos.,BOG Bedarfspos. ohne Gesamtbetrag,BMG Bedarfspos. mit Gesamtbetrag;true 2
bauwesen;bauexportpathdownload;Bauwesen - Schnittstelle;BAUEXPORTPATHDOWNLOAD;Verzeichnis für den Server Download;Verzeichnis für den Download von GAEB-Dateien vom Server auf den Client.;;;true 2
bauwesen;bauexportpathxmlfile;Bauwesen - Schnittstelle;BAUEXPORTPATHXMLFILE;Export-Verzeichnis des APplus GAEB-Konverters;"Temporäres Verzeichnis für die Konvertierung einer zu exportierenden Datei.
<br><br>
<b>Hinweis:</b> Hier darf nicht das Import-Verzeichnis angegeben werden.";;;true 2
bauwesen;bauimportpathupload;Bauwesen - Schnittstelle;BAUIMPORTPATHUPLOAD;Verzeichnis für den Server Upload;Zielverzeichnis für den Upload von GAEB-Dateien vom Client auf den Server.;;;true 2
bauwesen;bauimportpathxmlfile;Bauwesen - Schnittstelle;BAUIMPORTPATHXMLFILE;Import-Verzeichnis des APplus GAEB-Konverters;"Temporäres Verzeichnis für die Konvertierung der importierten Datei.
<br><br>
<b>Hinweis:</b> Hier darf nicht das Export-Verzeichnis angegeben werden.";;;true 2
bauwesen;baukonverterpathtoexe;Bauwesen - Schnittstelle;BAUKONVERTERPATHTOEXE;Ausführbare Datei des APplus GAEB-Konverters inkl. Pfad;"Hier muss der absolute Pfad zur ausführbaren Datei (*.exe) des APplus GAEB-Konverters angegeben werden. Der Pfad könnte beispielsweise wie folgt aussehen:
<br><i>D:\Programme\APplus GAEB-Konverter\Release\Konverter.exe</i>";;;true 2
bauwesen;bauprojekt_adressarten;Bauwesen - Allgemeines;BAUPROJEKT_ADRESSARTEN;Adressarten der Bauteilprojektadresse;Konstanten für die GAEB Schnittstelle. Diese dürfen <b>NICHT</b> geändert werden!;AG Auftraggeber,BS Baustelle,KD Kunde,LI Lieferant,LO Lieferort,LP Lieferortepos.;AG Auftraggeber,BS Baustelle,KD Kunde,LI Lieferant,LO Lieferort,LP Lieferortepos.;true 2
bauwesen;bauprojekt_kategorie;Bauwesen - Allgemeines;BAUPROJEKT_KATEGORIE;Kategorien der Bauteilprojektposition;Konstanten für die GAEB Schnittstelle. Diese dürfen <b>NICHT</b> geändert werden!;HWT Hinweistext,GRU Gruppe,ABE Ausführungsbeschreibung,POL Posliste,POS Position,ZSP Zuschlagsposition,MAP Materialposition;HWT Hinweistext,GRU Gruppe,ABE Ausführungsbeschreibung,POL Posliste,POS Position,ZSP Zuschlagsposition,MAP Materialposition;true 2
bauwesen;bauprojekt_nachlassart;Bauwesen - Allgemeines;BAUPROJEKT_NACHLASSART;Nachlassarten;Konstanten für die GAEB Schnittstelle. Diese dürfen <b>NICHT</b> geändert werden!;NA Nachlassart Bauteilprojekt,NP Nachlassart Bauteilprojektposition;NA Nachlassart Bauteilprojekt,NP Nachlassart Bauteilprojektposition;true 2
bauwesen;bauprojekt_posart;Bauwesen - Allgemeines;BAUPROJEKT_POSART;Positionsarten der Bauteilprojektposition;Konstanten für die GAEB Schnittstelle. Diese dürfen <b>NICHT</b> geändert werden!;KAP keine Alternativposition,GRP Grundposition,ALP Alternativposition;KAP keine Alternativposition,GRP Grundposition,ALP Alternativposition;true 2
bauwesen;bauprojekt_posart2;Bauwesen - Allgemeines;BAUPROJEKT_POSART2;Positionsarten 2 der Bauteilprojektposition;Konstanten für die GAEB Schnittstelle. Diese dürfen <b>NICHT</b> geändert werden!;KBP keine Bedarfsposition,BOG Bedarfsposition ohne Gesamtbetrag,BMG Bedarfsposition mit Gesamtbetrag;KBP keine Bedarfsposition,BOG Bedarfsposition ohne Gesamtbetrag,BMG Bedarfsposition mit Gesamtbetrag;true 2
bauwesen;bauprojekt_textart;Bauwesen - Allgemeines;BAUPROJEKT_TEXTART;Textarten;Konstanten für die GAEB Schnittstelle. Diese dürfen <b>NICHT</b> geändert werden!;PRB Projektbeschreibung,VBB Vorbemerkung,HWB Hinweistextbeschreibung,AUB Ausführungsbeschreibung,POB Positionsbeschreibung,UTB Unterbeschreibung,ZPB Zuschlagsposbeschreibung,GRB Gruppenbeschreibung,MTB Materialposbeschreibung;PRB Projektbeschreibung,VBB Vorbemerkung,HWB Hinweistextbeschreibung,AUB Ausführungsbeschreibung,POB Positionsbeschreibung,UTB Unterbeschreibung,ZPB Zuschlagsposbeschreibung,GRB Gruppenbeschreibung,MTB Materialposbeschreibung;true 2
bauwesen;bauprojekt_textkategorie;Bauwesen - Allgemeines;BAUPROJEKT_TEXTKATEGORIE;Kategorien für Textinhalte;Konstanten für die GAEB Schnittstelle. Diese dürfen <b>NICHT</b> geändert werden!;K Kurztext,L Langtext,B Beschreibung;K Kurztext,L Langtext,B Beschreibung;true 2
bauwesen;gaebformat;Bauwesen - Allgemeines;GAEBFORMAT;GAEB-Formate;Hier werden die GAEB-Formate für Firmen hinterlegt. Die vorangestellte Ziffer entspricht jeweils dem Parameterwert für den MWM-Konverter.;3:GAEB DAXML aktuelle Version (3.2),6:GAEB DAXML 3.2,5:GAEB DAXML 3.1,4:GAEB DAXML 3.0,2:GAEB 2000,1:GAEB 90;3:GAEB DAXML aktuelle Version (3.2),6:GAEB DAXML 3.2,5:GAEB DAXML 3.1,4:GAEB DAXML 3.0,2:GAEB 2000,1:GAEB 90;true 2
bauwesen;gaebphase;Bauwesen - Allgemeines;GAEBPHASE;Datenaustauschphasen;Hier sind die von APplus unterstützten GAEB-Austauschphasen eingetragen.;83:DA83 Angebotsaufforderung,84:DA84 Angebotsabgabe;83:DA83 Angebotsaufforderung,84:DA84 Angebotsabgabe;true 2
bauwesen;posart_operation_not_allowed;Bauwesen - Belege;POSART_OPERATION_NOT_ALLOWED;Positionsarten mit Einschränkungen beim Ändern;Positionsarten, die nur eingeschränkte manuelle Änderungen erlauben.;HWT,ABE,LVB;HWT,ABE,LVB;true 2
bauwesen;vk_posart;Bauwesen - Vorkalkulation;VK_POSART;Kalkulationsrelevanten Positionsarten in der Angebotsposition;Angebotspositionen mit den Arten aus der Liste werden vorkalkuliert.;NOR Normalposition,GRP Grundposition,ALP Alternativposition;NOR Normalposition,GRP Grundposition,ALP Alternativposition;true 2
bde;accesskey_as;BDE - Browserterminal;ACCESSKEY_AS;Access Key für Ausschuss-Meldung;Access Key für Ausschuss-Meldung.;B;B;true 2
bde;accesskey_e;BDE - Browserterminal;ACCESSKEY_E;Access Key für Ende-Meldung;Access Key für Ende-Meldung.;E;E;true 2
bde;accesskey_ef;BDE - Browserterminal;ACCESSKEY_EF;Access Key für Fertig-Meldung;Access Key für Fertig-Meldung.;F;F;true 2
bde;accesskey_ep;BDE - Browserterminal;ACCESSKEY_EP;Access Key zur Eingabe der Parameter;Access Key zur Eingabe der Parameter.;Y;Y;true 2
bde;accesskey_fb;BDE - Browserterminal;ACCESSKEY_FB;Access Key zum Buchen mit Fertigungsbehältern;Access Key zum Buchen mit Fertigungsbehältern.;;;true 2
bde;accesskey_g;BDE - Browserterminal;ACCESSKEY_G;Access Key für Geht-Meldung;Access Key für Geht-Meldung.;G;G;true 2
bde;accesskey_i;BDE - Browserterminal;ACCESSKEY_I;Access Key für Konteninformation-Personal-Meldung;Access Key für Konteninformation-Personal-Meldung.;I;I;true 2
bde;accesskey_ia;BDE - Browserterminal;ACCESSKEY_IA;Access Key für Auftragsinformation-Meldung;Access Key für Auftragsinformation-Meldung.;A;A;true 2
bde;accesskey_k;BDE - Browserterminal;ACCESSKEY_K;Access Key für Kommt-Meldung;Access Key für Kommt-Meldung.;K;K;true 2
bde;accesskey_kg;BDE - Browserterminal;ACCESSKEY_KG;Access Key für Kommt-Geht-Meldung;Access Key für Kommt-Geht-Meldung.;O;O;true 2
bde;accesskey_kk;BDE - Browserterminal;ACCESSKEY_KK;Access Key für Kommt-mit-KoSt-Meldung;Access Key für Kommt-mit-KoSt-Meldung.;D;D;true 2
bde;accesskey_l;BDE - Browserterminal;ACCESSKEY_L;Access Key für Test-Meldung;Access Key für Test-Meldung.;T;T;true 2
bde;accesskey_mae;BDE - Browserterminal;ACCESSKEY_MAE;Access Key für Sammel-Auftrag-Ende-Meldung;Access Key für Sammel-Auftrag-Ende-Meldung.;H;H;true 2
bde;accesskey_maf;BDE - Browserterminal;ACCESSKEY_MAF;Access Key für Sammel-Auftrag-Fertig-Meldung;Access Key für Sammel-Auftrag-Fertig-Meldung.;J;J;true 2
bde;accesskey_mas;BDE - Browserterminal;ACCESSKEY_MAS;Access Key für Sammel-Auftrag-Start-Meldung;Access Key für Sammel-Auftrag-Start-Meldung.;C;C;true 2
bde;accesskey_me;BDE - Browserterminal;ACCESSKEY_ME;Access Key für Sammel-AG-Ende-Meldung;Access Key für Sammel-AG-Ende-Meldung.;L;L;true 2
bde;accesskey_mef;BDE - Browserterminal;ACCESSKEY_MEF;Access Key für Sammel-AG-Fertig-Meldung;Access Key für Sammel-AG-Fertig-Meldung.;R;R;true 2
bde;accesskey_ms;BDE - Browserterminal;ACCESSKEY_MS;Access Key für Sammel-AG-Start-Meldung;Access Key für Sammel-AG-Start-Meldung.;M;M;true 2
bde;accesskey_re;BDE - Browserterminal;ACCESSKEY_RE;Access Key für Rüsten-Ende-Meldung;Access Key für Rüsten-Ende-Meldung.;X;X;true 2
bde;accesskey_rf;BDE - Browserterminal;ACCESSKEY_RF;Access Key für Rüsten-Fertig-Meldung;Access Key für Rüsten-Fertig-Meldung.;V;V;true 2
bde;accesskey_rme;BDE - Browserterminal;ACCESSKEY_RME;Access Key für Sammel-AG-Rüsten-Ende-Meldung;Access Key für Sammel-AG-Rüsten-Ende-Meldung;;;true 2
bde;accesskey_rmf;BDE - Browserterminal;ACCESSKEY_RMF;Access Key für Sammel-AG-Rüsten-Fertig-Meldung;Access Key für Sammel-AG-Rüsten-Fertig-Meldung;;;true 2
bde;accesskey_rms;BDE - Browserterminal;ACCESSKEY_RMS;Access Key für Sammel-AG-Rüsten-Start-Meldung;Access Key für Sammel-AG-Rüsten-Start-Meldung;;;true 2
bde;accesskey_rs;BDE - Browserterminal;ACCESSKEY_RS;Access Key für Rüsten-Start-Meldung;Access Key für Rüsten-Start-Meldung.;N;N;true 2
bde;accesskey_s;BDE - Browserterminal;ACCESSKEY_S;Access Key für Start-Meldung;Access Key für Start-Meldung.;S;S;true 2
bde;accesskey_sc;BDE - Browserterminal;ACCESSKEY_SC;Access Key zur Anzeige von Behälterinformationen;Access Key zur Anzeige von Behälterinformationen.;;;true 2
bde;accesskey_sp;BDE - Browserterminal;ACCESSKEY_SP;Access Key zur Anzeige der Parameter;Access Key zur Anzeige der Parameter.;X;X;true 2
bde;accesskey_um;BDE - Browserterminal;ACCESSKEY_UM;Access Key für Unterbrechung-Maschinengruppe-Meldung;Access Key für Unterbrechung-Maschinengruppe-Meldung.;U;U;true 2
bde;accesskey_up;BDE - Browserterminal;ACCESSKEY_UP;Access Key für Unterbrechung-Personal-Meldung;Access Key für Unterbrechung-Personal-Meldung.;P;P;true 2
bde;accesskey_us;BDE - Browserterminal;ACCESSKEY_US;Access Key für Urlaubsantrag stellen-Meldung;"Access Key für Urlaubsantrag stellen-Meldung.
";Q;Q;true 2
bde;accesskey_z;BDE - Browserterminal;ACCESSKEY_Z;Access Key für Zutritts-Meldung;Access Key für Zutritts-Meldung.;Z;Z;true 2
bde;aglength;BDE - Längen von Melde-Merkmalen;AGLENGTH;Zeichenanzahl Arbeitsgang;Zeichenanzahl Arbeitsgang.;3;3;true 2
bde;agzeitsatzart;BDE - Satzarten und Status;AGZEITSATZART;Satzarten bei AG Zeiten;Liste der Satzarten bei AG Zeiten.;S normal,IS Ist=Soll,UM Unterbrechung,X% storniert;S normal,IS Ist=Soll,UM Unterbrechung,X% storniert;true 2
bde;anwkat;BDE - Zukunftsplanung;ANWKAT;Basis-Kategorie für Anwesenheit;Basis-Kategorie für Anwesenheit/Arbeitszeit.;ANW;ANW;true 2
bde;anwlimit1;BDE - PZE Pausenregeln;ANWLIMIT1;Erstes Arbeitszeitlimit;Maximale Dauer der Arbeitszeit bis zum Beginn der ersten Pause.;06:00:00;06:00:00;true 2
bde;anwlimit2;BDE - PZE Pausenregeln;ANWLIMIT2;Zweites Arbeitszeitlimit;Maximale Dauer der Arbeitszeit bis zum Beginn der zweiten Pause.;09:00:00;09:00:00;true 2
bde;anwlimit3;BDE - PZE Pausenregeln;ANWLIMIT3;Drittes Arbeitszeitlimit;Maximale Dauer der Arbeitszeit bis zum Beginn der dritten Pause.;;;true 2
bde;anwtableaunrofcols;BDE - Allgemeines;ANWTABLEAUNROFCOLS;Anzahl der Spalten beim Anwesenheitstableau;"Anzahl der Spalten beim Anwesenheitstableau.
<br /><br />
<b>Hinweis: </b>Bei Verwendung von SQL Server Versionen vor 2012 kann das Anwesenheitstableau nur mit einer Spalte angezeigt werden!";1;1;true 2
bde;anwtableaurefreshcheck;BDE - Allgemeines;ANWTABLEAUREFRESHCHECK;Zeitspanne zwischen zwei Aktualisierungsprüfungen beim Anwesenheitstableau;Zeitspanne (in Sekunden) zwischen zwei Aktualisierungsprüfungen beim Anwesenheitstableau. Das Anwesenheitstableau wird spätestens nach der hier eingestellten Anzahl von Sekunden aktualisiert, falls sich eine Änderung am Anwesenheitsstatus einer der angezeigten Personen ergeben hat.;60;60;true 2
bde;aptermservice;BDE - Allgemeines;APTERMSERVICE;APtermService;Der APtermService wird eingesetzt.;false;false;true 2
bde;aptermserviceuser;BDE - Allgemeines;APTERMSERVICEUSER;Benutzerkonto für den APtermService;Benutzerkonto für den APtermService im Format [Domäne]\[Konto].;;;true 2
bde;auftraginfo_kabaformat;BDE - AZE Abfrage;AUFTRAGINFO_KABAFORMAT;Ausgabe für Kaba-Terminals formatieren;Die Auftragsinfo-Ausgabe wird so formatiert, dass nach 20 Zeichen ein Zeilenumbruch erfolgt.;false;false;true 2
bde;autoende;BDE - AZE-PZE-Kopplung;AUTOENDE;Bei PZE-Geht laufende AG beenden;Bei PZE-Geht werden laufende AG beendet.;true;true;true 2
bde;autog_wie_g;BDE - AZE-PZE-Kopplung;AUTOG_WIE_G;Automatisches Abmelden behandeln wie Geht;Automatisches Abmelden (Personal) behandeln wie Geht.;true;true;true 2
bde;autogehtmodus;BDE - PZE Meldeoptionen;AUTOGEHTMODUS;Autogeht-Modus;Automatisches Abmelden von Mitarbeitern mit abgelaufener Schicht erfolgt;KZ;KZ;true 2
